"max(X)","min(X)"
0.72977,0.2695
0.72955,0.26951
0.72923,0.26963
0.72894,0.26972
0.72862,0.26983
0.72832,0.26994
0.72799,0.27008
0.72776,0.27014
0.72739,0.27034
0.7271,0.27047
0.72673,0.27068
0.7264,0.27086
0.72608,0.27104
0.72595,0.27104
0.72543,0.27142
0.725,0.27171
0.72461,0.27198
0.72461,0.27187
0.72401,0.27234
0.72364,0.27259
0.72325,0.27287
0.72293,0.27309
0.72247,0.27345
0.72228,0.27355
0.72171,0.27405
0.72134,0.27433
0.72094,0.27464
0.72058,0.27493
0.7202,0.27524
0.71982,0.27553
0.71943,0.27584
0.71905,0.27615
0.71867,0.27644
0.71834,0.2767
0.71795,0.277
0.71756,0.27731
0.71721,0.27759
0.71682,0.27788
0.71647,0.27813
0.71604,0.27847
0.71567,0.27874
0.71531,0.27901
0.71496,0.27926
0.7146,0.27952
0.71425,0.27977
0.71389,0.28001
0.71354,0.28025
0.7132,0.28049
0.71285,0.28073
0.71251,0.28097
0.71241,0.28095
0.71186,0.28138
0.71162,0.28148
0.71107,0.28188
0.71106,0.28175
0.7105,0.28215
0.71015,0.28235
0.70981,0.28255
0.70944,0.28275
0.70933,0.2827
0.70876,0.28311
0.70838,0.28334
0.70801,0.28354
0.70771,0.28368
0.70732,0.28392
0.70705,0.28404
0.70665,0.2843
0.70627,0.28453
0.70588,0.28478
0.70568,0.28484
0.70503,0.28536
0.70517,0.28515
0.70452,0.28567
0.70419,0.28588
0.7039,0.28606
0.70361,0.28625
0.70295,0.28684
0.7026,0.28712
0.70246,0.28718
0.70196,0.28761
0.70166,0.28785
0.70136,0.28809
0.70108,0.28833
0.70069,0.28867
0.70041,0.28891
0.69995,0.28934
0.6996,0.28965
0.69949,0.28971
0.69893,0.29023
0.69854,0.2906
0.69833,0.29079
0.69821,0.29091
0.69763,0.29147
0.69735,0.29174
0.69692,0.29218
0.69657,0.29251
0.69643,0.29262
0.69589,0.29314
0.69548,0.29354
0.69545,0.29357
0.69497,0.29408
0.69471,0.29438
0.69452,0.29461
0.69421,0.29498
0.69399,0.29527
0.69377,0.29556
0.69373,0.29567
0.69335,0.29614
0.69319,0.29639
0.69298,0.29669
0.69272,0.29705
0.6932,0.29669
0.69258,0.29741
0.69244,0.29766
0.69225,0.29795
0.69198,0.29831
0.69184,0.29855
0.69178,0.29877
0.69159,0.29906
0.69144,0.29932
0.69146,0.29941
0.69103,0.29992
0.69143,0.29965
0.69095,0.30019
0.69083,0.30038
0.69068,0.3006
0.69055,0.30082
0.69031,0.30112
0.69023,0.30126
0.69014,0.30141
0.69017,0.30144
0.68991,0.30173
0.68989,0.30178
0.68963,0.30204
0.68966,0.30206
0.68945,0.30228
0.68932,0.3024
0.68935,0.30237
0.68915,0.30254
0.68906,0.30262
0.68921,0.30246
0.68889,0.30278
0.68879,0.30288
0.68865,0.303
0.68913,0.30255
0.6886,0.30302
0.68849,0.30311
0.6885,0.30308
0.68836,0.30319
0.68876,0.30278
0.68809,0.30336
0.68801,0.30336
0.68786,0.30344
0.68799,0.30328
0.68756,0.30367
0.68729,0.30391
0.68705,0.30411
0.68685,0.30429
0.68671,0.3044
0.68661,0.30448
0.68655,0.30453
0.68639,0.3047
0.6862,0.30489
0.68601,0.30509
0.68584,0.30527
0.68566,0.30545
0.68553,0.30558
0.68536,0.30578
0.6852,0.30595
0.68498,0.30619
0.68485,0.30635
0.68474,0.30648
0.68457,0.30668
0.68464,0.30665
0.68426,0.30705
0.68461,0.30678
0.68407,0.30733
0.68396,0.30752
0.68401,0.30753
0.68387,0.30772
0.68438,0.30729
0.68365,0.30809
0.68336,0.30844
0.68317,0.30869
0.68323,0.3087
0.68354,0.30847
0.6832,0.30887
0.68337,0.30878
0.68302,0.3092
0.68296,0.30933
0.68268,0.30967
0.68277,0.30966
0.68266,0.30983
0.68256,0.31
0.68245,0.31016
0.68228,0.31037
0.68214,0.31056
0.68199,0.31075
0.68184,0.31094
0.68169,0.31113
0.68151,0.31134
0.68153,0.31134
0.68113,0.31176
0.68094,0.31198
0.68069,0.31224
0.68045,0.3125
0.68042,0.31254
0.68006,0.3129
0.67967,0.3133
0.67935,0.31363
0.67914,0.31383
0.67878,0.31415
0.67848,0.31443
0.67822,0.31464
0.67781,0.31501
0.67744,0.31533
0.67728,0.31544
0.67668,0.316
0.67641,0.31624
0.67586,0.31674
0.67555,0.31703
0.67509,0.31745
0.67487,0.31764
0.6743,0.31817
0.67389,0.31854
0.67331,0.31909
0.67303,0.31933
0.67252,0.31977
0.67251,0.31974
0.67169,0.32046
0.6712,0.32088
0.67076,0.32127
0.67029,0.32168
0.6701,0.32182
0.66943,0.32242
0.6691,0.32272
0.66856,0.32318
0.66814,0.32358
0.66763,0.32404
0.66719,0.32444
0.66674,0.32482
0.66665,0.32486
0.66593,0.32548
0.66558,0.32574
0.66504,0.32627
0.66482,0.32647
0.66427,0.32695
0.66388,0.32728
0.66357,0.32756
0.66292,0.32811
0.66248,0.32849
0.6621,0.32883
0.66172,0.32912
0.66134,0.32942
0.66098,0.3297
0.66059,0.32998
0.66036,0.33012
0.65985,0.33052
0.6596,0.33071
0.65914,0.33112
0.65889,0.33134
0.65846,0.33172
0.65823,0.33191
0.65786,0.33223
0.65758,0.33246
0.65731,0.3327
0.65703,0.33293
0.65675,0.33317
0.65673,0.33318
0.65636,0.33354
0.65617,0.33372
0.656,0.33383
0.65581,0.33401
0.65583,0.33399
0.65557,0.33426
0.65558,0.33428
0.65539,0.3345
0.6553,0.33462
0.65518,0.33479
0.65539,0.33463
0.65511,0.3349
0.65504,0.33503
0.6553,0.33485
0.65498,0.33523
0.65517,0.33509
0.65501,0.33526
0.65513,0.33516
0.65514,0.33518
0.65519,0.33518
0.655,0.33542
0.65499,0.33549
0.65503,0.33551
0.65511,0.33547
0.65514,0.3355
0.65546,0.33525
0.65532,0.33542
0.65571,0.33512
0.65552,0.33542
0.65539,0.3357
0.65517,0.33599
0.65566,0.33562
0.65574,0.33563
0.65578,0.33571
0.65582,0.33581
0.65593,0.33566
0.65596,0.33588
0.65602,0.33606
0.65606,0.33619
0.65634,0.33608
0.65624,0.33633
0.65631,0.33644
0.65637,0.3365
0.6564,0.33662
0.65675,0.33642
0.65647,0.33677
0.65658,0.33678
0.65649,0.33696
0.65672,0.33683
0.65646,0.33717
0.65668,0.33711
0.65643,0.33746
0.6565,0.33752
0.65632,0.33781
0.65649,0.33781
0.65625,0.33814
0.65617,0.3383
0.65607,0.33849
0.65597,0.33872
0.65576,0.33896
