algorithm,conv,time
CB-CMS,109,153.267
AMLS,108,171.983997
CB-CMS,109,153.48
CMSINTRD_4_5,126,143.407899
AMLS,109,151.596044
CB-CMS,109,151.776
AMLS,112,144.926051
CB-CMS,109,152.02
CMSINTRD_4_5,126,144.341032
AMLS,114,202.268173
CB-CMS,109,152.077
PD,255,13.199374
AMLS,114,176.120133
CB-CMS,109,153.028
CMSINTRD_4_5,122,144.595113
AMLS,116,201.850883
CB-CMS,109,151.745
AMLS,118,184.800511
CB-CMS,109,152.242
CMSINTRD_4_5,123,143.261008
AMLS,120,171.956188
CB-CMS,109,153.558
AMLS,122,193.638018
CB-CMS,109,154.248
CMSINTRD_4_5,124,142.741039
PD,280,15.751999
AMLS,125,187.822196
CB-CMS,109,153.292
AMLS,128,193.993650
CB-CMS,109,150.911
CMSINTRD_4_5,129,142.957355
AMLS,131,175.675466
CB-CMS,121,170.198
AMLS,133,201.876624
CB-CMS,132,182.529
CMSINTRD_4_5,137,179.093083
AMLS,134,208.138871
CB-CMS,132,180.239
PD,292,16.382349
AMLS,135,245.582216
CB-CMS,132,180.625
CMSINTRD_4_5,149,179.753564
AMLS,136,205.226627
CB-CMS,132,180.129
AMLS,139,217.839645
CB-CMS,132,179.724
CMSINTRD_4_5,149,177.759987
AMLS,139,235.982125
CB-CMS,132,179.827
AMLS,140,250.462835
CB-CMS,132,180.393
CMSINTRD_4_5,151,177.152110
CMSINTRD_4_5,15,30.705096
PD,305,18.670931
AMLS,141,237.785255
CB-CMS,132,178.737
AMLS,143,249.542772
CB-CMS,132,178.424
CMSINTRD_4_5,139,178.334679
AMLS,144,233.737462
CB-CMS,132,179.838
AMLS,145,254.770585
CB-CMS,132,180.149
CMSINTRD_4_5,153,179.992201
AMLS,148,228.454387
CB-CMS,132,179.885
PD,341,19.009012
AMLS,149,228.742858
CB-CMS,147,202.771
CMSINTRD_4_5,171,217.872600
AMLS,151,336.604146
CB-CMS,151,206.618
AMLS,151,276.844251
CB-CMS,151,207.136
CMSINTRD_4_5,167,223.686272
AMLS,153,309.852512
CB-CMS,151,205.073
AMLS,153,293.117272
CB-CMS,151,204.875
CMSINTRD_4_5,162,224.284760
PD,366,21.400762
AMLS,154,332.303569
CB-CMS,151,207.855
AMLS,156,311.533127
CB-CMS,151,210.904
CMSINTRD_4_5,152,225.338306
AMLS,159,401.587609
CB-CMS,151,206.198
AMLS,159,373.629515
CB-CMS,151,207.495
CMSINTRD_4_5,160,223.431868
AMLS,160,422.846390
CB-CMS,151,206.303
PD,379,22.495523
AMLS,161,407.211824
CB-CMS,151,208.043
CMSINTRD_4_5,164,224.461088
AMLS,161,388.746559
CB-CMS,151,208.938
AMLS,163,412.885863
CB-CMS,154,216.348
CMSINTRD_4_5,161,225.069465
AMLS,165,351.846179
CB-CMS,154,216.36
