index,eigenvalue,residual
167,7.285576218848e+06,4.158222186244e-06
168,7.311831296365e+06,3.921438049671e-06
169,7.340592376571e+06,9.487122434811e-06
170,7.353632993163e+06,4.063620141397e-06
171,7.397842595138e+06,1.678751565617e-06
172,7.487898649457e+06,4.456428500632e-06
173,7.535963078618e+06,5.650625252570e-06
174,7.569934341652e+06,2.506797613350e-06
175,7.703272165928e+06,1.293450208689e-05
176,7.739323463734e+06,4.062034886107e-06
177,7.819553900899e+06,7.679502065297e-06
178,7.944091774696e+06,5.343648475048e-06
179,7.966380321598e+06,3.144625854693e-06
180,8.024334074373e+06,3.921226733423e-06
181,8.074207948278e+06,4.736111240718e-06
182,8.119526333728e+06,1.495748304871e-06
183,8.127048778916e+06,5.225025468144e-06
184,8.237552090633e+06,5.372828029148e-06
185,8.245734956548e+06,8.397618381626e-06
186,8.255542813018e+06,3.665708549495e-06
187,8.460745424982e+06,5.136513902455e-06
188,8.495378647029e+06,5.501681765978e-06
189,8.577859781757e+06,4.421537848670e-06
190,8.617649712103e+06,2.706683361496e-06
191,8.706846848647e+06,4.032846115599e-06
192,8.787800122567e+06,7.558574249710e-06
193,8.795991641331e+06,7.150888092771e-06
194,8.821244379697e+06,5.475479089644e-06
195,8.858845586258e+06,3.046827011659e-06
196,8.982738307103e+06,8.300758471310e-06
197,9.137880324234e+06,1.826772353414e-06
198,9.144855150726e+06,6.541460788777e-06
199,9.358517743867e+06,1.056386099238e-06
200,9.423865329292e+06,3.362251638328e-06
201,9.434317717805e+06,3.353278372498e-06
202,9.497532071230e+06,4.620844438928e-06
203,9.559696967170e+06,2.747668895920e-06
204,9.726889960186e+06,6.417940766433e-06
205,9.744269436365e+06,4.672692098211e-06
206,9.865300268001e+06,5.204777609413e-06
207,9.895760222472e+06,3.068051790535e-06
208,9.971134962187e+06,6.858815436150e-06
209,9.995564666266e+06,7.100963199403e-06
210,1.008647881538e+07,1.357047388187e-05
211,1.014029811565e+07,5.105240393272e-06
212,1.019149012022e+07,7.584577907631e-06
213,1.026980851922e+07,5.335488148299e-06
214,1.029656429930e+07,7.138466532936e-06
215,1.035727883214e+07,8.208058612235e-06
216,1.040367777717e+07,5.136275638468e-06
217,1.043762641432e+07,2.746126960905e-06
218,1.049702201995e+07,3.564503515503e-06
219,1.050549029549e+07,2.344333033975e-06
220,1.051267871137e+07,4.336941311089e-06
221,1.068529883270e+07,3.604935216061e-06
222,1.071988803608e+07,4.432690057262e-06
223,1.085660925146e+07,6.986673073627e-06
224,1.095371224436e+07,5.294832416175e-06
225,1.111939034698e+07,5.116488148061e-06
226,1.117324882517e+07,3.736146744761e-06
227,1.133371242555e+07,4.018964126707e-06
228,1.133614993874e+07,2.822836170269e-06
229,1.140570158448e+07,5.835125572619e-06
230,1.146712704309e+07,3.582843913257e-06
231,1.164640235467e+07,4.220603756256e-06
232,1.165620976384e+07,2.437798580730e-06
233,1.168871921250e+07,2.849907621162e-06
234,1.177531315494e+07,8.990221143513e-07
235,1.183546491327e+07,1.448383388145e-06
236,1.187402987010e+07,4.327285403180e-06
237,1.187978046460e+07,4.414854695237e-06
238,1.197436253085e+07,6.900884662528e-06
239,1.206045260187e+07,1.295938308637e-06
240,1.208976296788e+07,2.886035446870e-06
241,1.212485420944e+07,2.273104659956e-06
242,1.213976975903e+07,9.217533514175e-07
243,1.215270086493e+07,4.248544581190e-06
244,1.231195047695e+07,7.331323751464e-06
245,1.234542819971e+07,3.209502980788e-06
246,1.253695840441e+07,1.343273161985e-06
247,1.261042374499e+07,3.633592689869e-06
248,1.262115759266e+07,2.260404886368e-06
249,1.266258530778e+07,2.657162527157e-06
250,1.273456721113e+07,8.984329107354e-06
251,1.275189734371e+07,5.558158250684e-06
252,1.279040115929e+07,6.276955335857e-06
253,1.281304865474e+07,6.078196731796e-06
254,1.294050215829e+07,3.930928595062e-06
255,1.302189975710e+07,1.452868159347e-06
256,1.303372064592e+07,4.899295389194e-06
257,1.318463244832e+07,3.331797146410e-06
258,1.322483603044e+07,2.180413817158e-06
259,1.327029148841e+07,3.445575545256e-06
260,1.330426316792e+07,3.052304665367e-06
261,1.338984523026e+07,5.851626337437e-06
262,1.343899161725e+07,4.568121983360e-06
263,1.347671535434e+07,5.504703211465e-06
264,1.351497530603e+07,2.479071733281e-06
265,1.357369660185e+07,3.665408260436e-06
266,1.361410416367e+07,4.743488844699e-06
267,1.371858429436e+07,6.507464029719e-06
268,1.374203578210e+07,3.579342697848e-06
269,1.377701227226e+07,3.702775885133e-06
270,1.382184979331e+07,4.696754413857e-06
271,1.382619446457e+07,2.951073036679e-06
272,1.390843192764e+07,5.221668810652e-06
273,1.398819596905e+07,6.245523781828e-06
274,1.401484321281e+07,5.872368654265e-06
275,1.411106303025e+07,4.697852169631e-06
276,1.416564814781e+07,3.748242560126e-06
277,1.419682264801e+07,2.895297940603e-06
278,1.424543726772e+07,3.872231206697e-06
279,1.429249899152e+07,3.715619468519e-06
280,1.439102526730e+07,4.722493709515e-06
281,1.441822671604e+07,2.525785171759e-06
282,1.450313730453e+07,3.203805255689e-06
283,1.458176191247e+07,5.005660271688e-06
284,1.467233623274e+07,6.508423415837e-06
285,1.479146304759e+07,4.999296508771e-06
286,1.489569799855e+07,7.402859746431e-06
287,1.490729275893e+07,7.463585050934e-06
288,1.503466103491e+07,6.807619644799e-06
289,1.504284721305e+07,3.755159989038e-06
290,1.508364761289e+07,2.555618495296e-06
291,1.511517708645e+07,4.079252858641e-06
